timestep,population,phi,delta_phi,entropy,resource_concentration,reward_drift,agent_dominance,phi_resource_contribution,phi_reward_drift_contribution,phi_dominance_contribution,dominant_lineage_id,dominant_lineage_type,dominant_lineage_count
55,5,0.508306,-0.000371,0.978819,0.135864,0.973343,0.400278,0.047553,0.34067,0.120083,pp-0015,mutating,2
56,5,0.506664,-0.001642,0.976502,0.130414,0.97336,0.401143,0.045645,0.340676,0.120343,pp-0015,mutating,2
57,5,0.504094,-0.00257,0.975793,0.122626,0.973377,0.401643,0.042919,0.340682,0.120493,pp-0015,mutating,2
58,5,0.500716,-0.003378,0.975902,0.114367,0.973394,0.4,0.040028,0.340688,0.12,pp-0015,mutating,2
59,5,0.500083,-0.000633,0.976043,0.112541,0.973411,0.4,0.039389,0.340694,0.12,pp-0015,mutating,2
60,5,0.498126,-0.001957,0.976043,0.106932,0.973428,0.4,0.037426,0.3407,0.12,pp-0015,mutating,2
61,5,0.496942,-0.001184,0.975323,0.103327,0.973445,0.400237,0.036165,0.340706,0.120071,pp-0015,mutating,2
62,5,0.495326,-0.001616,0.975816,0.098897,0.973462,0.4,0.034614,0.340712,0.12,pp-0015,mutating,2
63,5,0.495347,2.1e-05,0.975807,0.09894,0.973479,0.4,0.034629,0.340718,0.12,pp-0015,mutating,2
64,5,0.49419,-0.001157,0.974945,0.09562,0.973496,0.4,0.033467,0.340723,0.12,pp-0015,mutating,2
65,5,0.494881,0.000691,0.975304,0.097238,0.973512,0.400396,0.034033,0.340729,0.120119,pp-0015,mutating,2
66,5,0.493349,-0.001532,0.975197,0.09231,0.973529,0.401015,0.032309,0.340735,0.120305,pp-0015,mutating,2
67,5,0.492264,-0.001085,0.974891,0.089042,0.973546,0.401192,0.031165,0.340741,0.120358,pp-0015,mutating,2
68,5,0.491229,-0.001035,0.974865,0.086838,0.973563,0.400298,0.030393,0.340747,0.120089,pp-0015,mutating,2
69,5,0.490287,-0.000942,0.974489,0.084215,0.97358,0.400195,0.029475,0.340753,0.120059,pp-0015,mutating,2
70,5,0.490404,0.000117,0.973622,0.083003,0.973596,0.40198,0.029051,0.340759,0.120594,pp-0015,mutating,2
71,5,0.489095,-0.001309,0.973889,0.080826,0.973613,0.400138,0.028289,0.340765,0.120041,pp-0015,mutating,2
72,5,0.488378,-0.000717,0.973761,0.078332,0.97363,0.40064,0.027416,0.34077,0.120192,pp-0015,mutating,2
73,5,0.487733,-0.000645,0.973873,0.077019,0.973646,0.4,0.026957,0.340776,0.12,pp-0015,mutating,2
74,5,0.486783,-0.00095,0.973897,0.074289,0.973663,0.4,0.026001,0.340782,0.12,pp-0015,mutating,2
75,5,0.486125,-0.000658,0.973888,0.072392,0.97368,0.4,0.025337,0.340788,0.12,pp-0015,mutating,2
76,5,0.484191,-0.001934,0.972888,0.066848,0.973696,0.4,0.023397,0.340794,0.12,pp-0015,mutating,2
77,5,0.484409,0.000218,0.972622,0.06661,0.973713,0.400987,0.023314,0.340799,0.120296,pp-0015,mutating,2
78,5,0.484657,0.000248,0.972046,0.066125,0.973729,0.402359,0.023144,0.340805,0.120708,pp-0015,mutating,2
79,5,0.485291,0.000634,0.971311,0.066372,0.973746,0.404165,0.02323,0.340811,0.12125,pp-0015,mutating,2
80,5,0.483674,-0.001617,0.97062,0.062506,0.973762,0.403268,0.021877,0.340817,0.12098,pp-0015,mutating,2
81,5,0.482234,-0.00144,0.970637,0.059598,0.973779,0.401839,0.020859,0.340823,0.120552,pp-0015,mutating,2
82,5,0.481955,-0.000279,0.970268,0.058178,0.973795,0.402549,0.020362,0.340828,0.120765,pp-0015,mutating,2
83,5,0.481471,-0.000484,0.969575,0.05542,0.973812,0.404133,0.019397,0.340834,0.12124,pp-0015,mutating,2
84,5,0.480764,-0.000707,0.969389,0.053766,0.973828,0.403687,0.018818,0.34084,0.121106,pp-0015,mutating,2
85,5,0.481011,0.000247,0.968598,0.053172,0.973845,0.405184,0.01861,0.340846,0.121555,pp-0015,mutating,2
86,5,0.48102,9e-06,0.968733,0.053294,0.973861,0.405052,0.018653,0.340851,0.121516,pp-0015,mutating,2
87,5,0.479811,-0.001209,0.969212,0.051074,0.973877,0.403592,0.017876,0.340857,0.121078,pp-0015,mutating,2
88,5,0.478497,-0.001314,0.96896,0.04846,0.973894,0.402245,0.016961,0.340863,0.120673,pp-0015,mutating,2
89,5,0.479144,0.000647,0.968611,0.049487,0.97391,0.403182,0.01732,0.340869,0.120955,pp-0015,mutating,2
