timestep,population,phi,delta_phi,entropy,resource_concentration,reward_drift,agent_dominance,phi_resource_contribution,phi_reward_drift_contribution,phi_dominance_contribution,dominant_lineage_id,dominant_lineage_type,dominant_lineage_count
21,3,0.445386,0.001279,0.999872,0.00893,0.972811,0.339255,0.003126,0.340484,0.101776,pp-0016,mutating,1
22,4,0.557292,0.111906,0.999788,0.190793,0.972899,0.5,0.066777,0.340515,0.15,pp-0016,mutating,2
23,6,0.584535,0.027243,0.997907,0.268722,0.972805,0.5,0.094053,0.340482,0.15,pp-0014,mutating,3
24,6,0.583251,-0.001284,0.997034,0.265323,0.972536,0.5,0.092863,0.340388,0.15,pp-0014,mutating,3
25,6,0.582144,-0.001107,0.996426,0.262172,0.972527,0.5,0.09176,0.340384,0.15,pp-0014,mutating,3
26,6,0.580531,-0.001613,0.995522,0.257569,0.972519,0.5,0.090149,0.340382,0.15,pp-0014,mutating,3
27,6,0.578658,-0.001873,0.994461,0.252225,0.972512,0.5,0.088279,0.340379,0.15,pp-0014,mutating,3
28,6,0.577769,-0.000889,0.99339,0.249692,0.972504,0.5,0.087392,0.340377,0.15,pp-0014,mutating,3
29,6,0.576943,-0.000826,0.991463,0.247339,0.972497,0.5,0.086569,0.340374,0.15,pp-0014,mutating,3
30,6,0.575607,-0.001336,0.989541,0.243532,0.972489,0.5,0.085236,0.340371,0.15,pp-0014,mutating,3
31,6,0.574391,-0.001216,0.987088,0.240061,0.972482,0.5,0.084022,0.340369,0.15,pp-0014,mutating,3
32,6,0.570695,-0.003696,0.986166,0.229512,0.972475,0.5,0.080329,0.340366,0.15,pp-0014,mutating,3
33,6,0.572861,0.002166,0.98709,0.23571,0.972467,0.5,0.082498,0.340363,0.15,pp-0014,mutating,3
34,6,0.573027,0.000166,0.984244,0.236188,0.97246,0.5,0.082666,0.340361,0.15,pp-0014,mutating,3
35,6,0.571425,-0.001602,0.986078,0.23162,0.972452,0.5,0.081067,0.340358,0.15,pp-0014,mutating,3
36,6,0.573384,0.001959,0.986211,0.237222,0.972445,0.5,0.083028,0.340356,0.15,pp-0014,mutating,3
37,6,0.576654,0.00327,0.986808,0.246574,0.972437,0.5,0.086301,0.340353,0.15,pp-0014,mutating,3
38,6,0.572398,-0.004256,0.985423,0.234422,0.97243,0.5,0.082048,0.34035,0.15,pp-0014,mutating,3
39,6,0.574267,0.001869,0.985121,0.23977,0.972422,0.5,0.083919,0.340348,0.15,pp-0014,mutating,3
40,6,0.576235,0.001968,0.985282,0.2454,0.972415,0.5,0.08589,0.340345,0.15,pp-0014,mutating,3
41,6,0.57921,0.002975,0.984849,0.25391,0.972407,0.5,0.088868,0.340342,0.15,pp-0014,mutating,3
42,6,0.574145,-0.005065,0.9838,0.239443,0.972399,0.5,0.083805,0.34034,0.15,pp-0014,mutating,3
43,6,0.576825,0.00268,0.984577,0.24711,0.972392,0.5,0.086488,0.340337,0.15,pp-0014,mutating,3
44,6,0.580713,0.003888,0.984738,0.258222,0.972384,0.5,0.090378,0.340335,0.15,pp-0014,mutating,3
45,6,0.576836,-0.003877,0.983469,0.247155,0.972377,0.5,0.086504,0.340332,0.15,pp-0014,mutating,3
46,6,0.579948,0.003112,0.983726,0.256054,0.972369,0.5,0.089619,0.340329,0.15,pp-0014,mutating,3
47,6,0.581719,0.001771,0.983475,0.26112,0.972362,0.5,0.091392,0.340327,0.15,pp-0014,mutating,3
48,6,0.583616,0.001897,0.982556,0.266549,0.972354,0.5,0.093292,0.340324,0.15,pp-0014,mutating,3
49,6,0.583367,-0.000249,0.985954,0.265846,0.972347,0.5,0.093046,0.340321,0.15,pp-0014,mutating,3
50,6,0.581722,-0.001645,0.981885,0.261152,0.972339,0.5,0.091403,0.340319,0.15,pp-0014,mutating,3
51,6,0.584347,0.002625,0.982699,0.26866,0.972331,0.5,0.094031,0.340316,0.15,pp-0014,mutating,3
52,6,0.585886,0.001539,0.982701,0.273067,0.972324,0.5,0.095573,0.340313,0.15,pp-0014,mutating,3
53,6,0.585147,-0.000739,0.986666,0.270959,0.972316,0.5,0.094836,0.340311,0.15,pp-0014,mutating,3
54,6,0.583648,-0.001499,0.981571,0.266685,0.972309,0.5,0.09334,0.340308,0.15,pp-0014,mutating,3
55,6,0.58984,0.006192,0.982686,0.284386,0.972301,0.5,0.099535,0.340305,0.15,pp-0014,mutating,3
56,6,0.589648,-0.000192,0.987226,0.283843,0.972294,0.5,0.099345,0.340303,0.15,pp-0014,mutating,3
57,6,0.58903,-0.000618,0.980945,0.282087,0.972286,0.5,0.09873,0.3403,0.15,pp-0014,mutating,3
58,6,0.596755,0.007725,0.981433,0.304165,0.972278,0.5,0.106458,0.340297,0.15,pp-0014,mutating,3
59,6,0.596755,0.0,0.974001,0.304173,0.972271,0.5,0.10646,0.340295,0.15,pp-0014,mutating,3
60,6,0.593596,-0.003159,0.981359,0.295154,0.972263,0.5,0.103304,0.340292,0.15,pp-0014,mutating,3
61,5,0.525058,-0.068538,0.981748,0.166031,0.972282,0.42216,0.058111,0.340299,0.126648,pp-0016,mutating,2
62,5,0.517714,-0.007344,0.982096,0.150498,0.972293,0.415789,0.052674,0.340303,0.124737,pp-0016,mutating,2
63,5,0.512815,-0.004899,0.981674,0.138799,0.972305,0.413097,0.048579,0.340307,0.123929,pp-0016,mutating,2
64,5,0.50992,-0.002895,0.980889,0.131206,0.972316,0.412291,0.045922,0.340311,0.123687,pp-0016,mutating,2
65,5,0.506599,-0.003321,0.981632,0.124336,0.972328,0.409224,0.043517,0.340315,0.122767,pp-0016,mutating,2
66,5,0.505685,-0.000914,0.980353,0.118743,0.972339,0.412687,0.04156,0.340319,0.123806,pp-0016,mutating,2
67,5,0.502251,-0.003434,0.980104,0.111897,0.97235,0.409213,0.039164,0.340323,0.122764,pp-0016,mutating,2
68,5,0.500272,-0.001979,0.980029,0.10842,0.972362,0.406659,0.037947,0.340327,0.121998,pp-0016,mutating,2
69,5,0.49838,-0.001892,0.97991,0.104175,0.972373,0.405295,0.036461,0.340331,0.121588,pp-0016,mutating,2
70,5,0.497742,-0.000638,0.978907,0.101673,0.972385,0.406072,0.035586,0.340335,0.121821,pp-0016,mutating,2
71,5,0.495724,-0.002018,0.978838,0.096665,0.972396,0.405174,0.033833,0.340339,0.121552,pp-0016,mutating,2
72,5,0.494845,-0.000879,0.977985,0.093693,0.972407,0.4057,0.032792,0.340343,0.12171,pp-0016,mutating,2
73,5,0.493973,-0.000872,0.977496,0.089434,0.972419,0.407752,0.031302,0.340346,0.122325,pp-0016,mutating,2
74,5,0.493281,-0.000692,0.976473,0.087106,0.97243,0.408148,0.030487,0.34035,0.122444,pp-0016,mutating,2
75,5,0.491915,-0.001366,0.976517,0.082792,0.972441,0.408612,0.028977,0.340354,0.122584,pp-0016,mutating,2
76,5,0.490843,-0.001072,0.976818,0.081095,0.972452,0.407007,0.028383,0.340358,0.122102,pp-0016,mutating,2
77,5,0.488324,-0.002519,0.976434,0.075414,0.972464,0.405222,0.026395,0.340362,0.121567,pp-0016,mutating,2
78,5,0.487649,-0.000675,0.976738,0.074906,0.972475,0.403552,0.026217,0.340366,0.121066,pp-0016,mutating,2
79,5,0.487609,-4e-05,0.976255,0.074081,0.972486,0.404369,0.025928,0.34037,0.121311,pp-0016,mutating,2
80,5,0.486785,-0.000824,0.975139,0.070421,0.972498,0.40588,0.024647,0.340374,0.121764,pp-0016,mutating,2
81,5,0.487373,0.000588,0.97584,0.073144,0.972509,0.404649,0.0256,0.340378,0.121395,pp-0016,mutating,2
82,5,0.486549,-0.000824,0.97646,0.071703,0.97252,0.403569,0.025096,0.340382,0.121071,pp-0016,mutating,2
83,5,0.485701,-0.000848,0.975668,0.068942,0.972531,0.40395,0.02413,0.340386,0.121185,pp-0016,mutating,2
84,5,0.484685,-0.001016,0.97556,0.066503,0.972542,0.403396,0.023276,0.34039,0.121019,pp-0016,mutating,2
85,5,0.484729,4.4e-05,0.974924,0.065178,0.972554,0.405077,0.022812,0.340394,0.121523,pp-0016,mutating,2
86,5,0.484875,0.000146,0.974375,0.064222,0.972565,0.406662,0.022478,0.340398,0.121999,pp-0016,mutating,2
87,5,0.483887,-0.000988,0.973881,0.062213,0.972576,0.4057,0.021775,0.340402,0.12171,pp-0016,mutating,2
88,5,0.483299,-0.000588,0.973446,0.060195,0.972587,0.406084,0.021068,0.340406,0.121825,pp-0016,mutating,2
89,5,0.482074,-0.001225,0.973616,0.058175,0.972598,0.404347,0.020361,0.340409,0.121304,pp-0016,mutating,2
90,5,0.482377,0.000303,0.973675,0.058415,0.97261,0.405063,0.020445,0.340413,0.121519,pp-0016,mutating,2
91,5,0.4807,-0.001677,0.973044,0.054188,0.972621,0.40439,0.018966,0.340417,0.121317,pp-0016,mutating,2
92,5,0.479611,-0.001089,0.972198,0.050911,0.972632,0.40457,0.017819,0.340421,0.121371,pp-0016,mutating,2
